permit_type,dec_id,permit_issued_to,facility_name,facility_street,facility_city,facility_zip,facility_contact,facility_description,facility_mact,facility_nsps,emission_units,controls,stack_height,pollutants,potential_to_emit,emission_unit_description,process_description,monitoring_type,monitoring_frequency,parameter_monitored,upper_permit_limit,lower_permit_limit
Air Title V Facility,1472600009,AMERICAN TECHNICAL CERAMICS,AMERICAN TECHNICAL CERAMICS,ONE NORDEN PL AND 10 & 15 STEPAR PL,HUNTINGTON STA,11746,"JANINE FERRANDIZ, KATHY KELLY",,T,,"0-10001, 0-10002, 0-10003, 0-10004, 1-00200, 1-00202, 1-00203, 1-00204, 1-50001, 1-50002, 1-50003, 1-50004, 1-50006, 1-50008, 1-50009, 1-50010, 1-50012, 1-50014, 1-50023, 1-50024, 1-50026, 1-50027, 1-50028, 1-50029","ELECTROSTATIC PRECIPITATOR, FABRIC FILTER","13, 16, 17, 19, 20, 23, 25, 26, 30, 32, 35, 36",TRICHLOROETHYLENE,,,,,,,,
Air Title V Facility,1472600130,NATIONAL GRID GENERATION LLC,NORTHPORT POWER STATION,WATERSIDE AVE & EATONS NECK RD,NORTHPORT,11768,CATHY WAXMAN,,,D,"U-00001, U-00002, U-00003, U-00004, U-GT001, U-GT0S1",ELECTROSTATIC PRECIPITATOR,"20, 31, 600","CARBON DIOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1472600157,NEWSDAY LLC,NEWSDAY,235 PINELAWN RD,MELVILLE,11746,JOSEPH MARINO,,,,"1-00BLR, 1-LTHPR",,"10, 40, 41, 56, 63","SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1472600237,U S DEPT OF VETERANS AFFAIRS,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE RD.,NORTHPORT,11768,DAVID GOULD,,,,"1-00001, 1-00002, 1-00003",,"10, 11, 14, 15, 16, 42, 69, 7, 9","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472600258,POLY-PAK INDUSTRIES INC,POLY-PAK MFG PLANT,125 SPAGNOLI RD,MELVILLE,11747,MICHAEL LOSAK,,KK,,"0-00014, 0-00CFI","CATALYTIC OXIDATION, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","13, 30",VOC,,,,,,,,
Air State Facility,1472600330,WESTHILLS SILICA SAND MINING CO,110 SAND CO,BETHPAGE--SPAGNOLI RD,MELVILLE,11746,"JAMES DEBIS, VIRGIL M PRICE, II",,,,U-00001,,29,OXIDES OF NITROGEN,,,,,,,,
Air State Facility,1472600490,110 SAND CO,110 SAND CLEAN FILL DISPOSAL SITE,136 BETHPAGE-SPAGNOLI RD,MELVILLE,11747,JASON GOLDEN,,,,U-00001,"FLARING, GAS SCRUBBER (GENERAL, NOT CLASSIFIED)",145,"PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,1472600790,TOWN OF HUNTINGTON,HUNTINGTON RESOURCE RECOVERY FACILITY,99 TOWN LINE RD,E NORTHPORT,11731,"KAREN M STEPSUS, SCOTT WHEELER",,,Cb,1-MBMWC,"ACTIVATED CARBON INJECTION, DRY SPRAY ABSORPTION, FABRIC FILTER, SELECTIVE NON-CATALYTIC REDUCTION",312,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, AMMONIA, ARSENIC, BERYLLIUM, CADMIUM, CARBON MONOXIDE, CHROMIUM, FORMALDEHYDE, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, LEAD, MANGANESE, MERCURY, NICKEL METAL AND INSOLUBLE COMPOUNDS, OXIDES OF NITROGEN, PARTICULATES, PM-10, POLYCHLORINATED BIPHENYL, POLYCYCLIC AROMATIC HYDROCARBONS, SULFUR DIOXIDE, SULFURIC ACID, VANADIUM, VOC, ZINC",,,,,,,,
Air State Facility,1472800111,CRESTWOOD METAL CO,CRESTWOOD METAL COMPANY,1100 LINCOLN AVE,HOLBROOK,11741,WILLIAM GOLDKIND,,RRR,,A-00001,DIRECT FLAME AFTERBURNER,35,"HAP, PARTICULATES",,,,,,,,
Air Title V Facility,1472800185,TOWN OF ISLIP,ISLIP MCARTHUR RESOURCE RECOVERY FACILITY,4001 VETERANS MEMORIAL HWY,RONKONKOMA,11779,"ANTHONY VARRICHIO, ERIC HOFMEISTER",,,"BBBB, Db","I-00002, I-00012","ACTIVATED CARBON INJECTION, AUXILIARY BURNER, DRY SPRAY ABSORPTION, FABRIC FILTER","150, 30, 6","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, CADMIUM, CARBON MONOXIDE, HYDROGEN CHLORIDE, LEAD, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1472800245,NYS OFFICE OF MENTAL HEALTH,NYS PILGRIM PSYCHIATRIC CENTER,998 CROOKED HILL RD,WEST BRENTWOOD,11717,"A SCOTT BARD, BOB RYAN",,JJJJJJ,"A, Dc, IIII",U-00002,,60,"OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472800618,ALADDIN PACKAGING LLC,ALADDIN PACKAGING,40 RANICK RD,HAUPPAUGE,11788,ABE MANDEL,,,,0-000FP,CATALYTIC AFTERBURNER WITH HEAT,"14, 20, 21, 29",VOC,,,,,,,,
Air Title V Facility,1472800628,ISLIP RESOURCE RECOVERY AGENCY,BLYDENBURGH ROAD LANDFILL,440 BLYDENBURGH RD,ISLIP,11751,"ANTHONY VARRICHIO, THOMAS DUDO",,,,"1-MSWLF, 2-CNDLF",,"22, 27, 40",,,,,,,,,
Air Title V Facility,1472801062,DISC GRAPHICS INC,DISC GRAPHICS FACILITY,10 GILPIN AVE,HAUPPAUGE,11788,MOH BACCHUS,,,,"0-00001, 0-00002",,23,"TOTAL HAP, VOC",,,,,,,,
Air Title V Facility,1472801128,MASON INDUSTRIES INC,MASON INDUSTRIES PROPERTY,350 RABRO DR,HAUPPAUGE,11788,HENRY F SMITH,,,,"0-00001, 0-00002, 000001",BAFFLE,"25, 26","HAP, PARTICULATES, VOC",,,,,,,,
Air Title V Facility,1472801386,CEDAR GRAPHICS INC,CEDAR GRAPHICS IGI,1700 OCEAN AVE,RONKONKOMA,11779,DONALD JOSEPH,,,,"U-00001, U-00002, U00002",,"24, 25, 26, 27, 42",VOC,,,,,,,,
Air Title V Facility,1472801480,BESTFOODS BAKING COMPANY,ENTENMANN'S BAKERY,1724 FIFTH AVE,BAYSHORE,11706,ROGER DREHER,,,,"U-AIRST, U-OVENS, U-WWTRP",,"22, 26, 27, 38, 40, 41, 42, 43, 45","BENZENE, DICHLOROBENZENE, ETHYLBENZENE, PARTICULATES, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,1472803067,NEW YORK POWER AUTHORITY,BRENTWOOD PLANT,WITHIN PILGRIM STATE PROPERTY OFF SAGTIKOS STATE PKWY,ISLIP,,JOHN KAHABKA,,,"A, GG",1-00001,"CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR)","1, 107, 15","AMMONIA, CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1472803244,EDGEWOOD ENERGY LLC,EDGEWOOD ENERGY LLC,998 CROOKED HILL RD,EDGEWOOD,11717,"CHRIS GOODPASTURE, KENNETH FORD",,,"A, GG",U-00001,"CATALYTIC AFTERBURNER, SELECTIVE CATALYTIC REDUCTION (SCR)",105,"AMMONIA, CARBON DIOXIDE, CARBON DIOXIDE EQUIVALENTS, OXIDES OF NITROGEN, PM-10, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1472804190,BEMIS COMPANY INC,BEMIS COMPANY INC,100 WILSHIRE BLVD,EDGEWOOD,11717,"ANDRE KRALJ, JESSICA PANZARELLA",,"KK, ZZZZ",,"0-7USTS, 1--EMRP, 1-EMRP, 1-PRINT","CATALYTIC AFTERBURNER WITH HEAT, THERMAL OXIDATION","12, 44, 45, 52, 68, 8","OXIDES OF NITROGEN, TOTAL HAP, VOC",,,,,,,,
Air State Facility,1472804227,ASTRO ELECTROPLATING INC,ASTRO ELECTROPLATING INC,171 4TH AVE,BAY SHORE,11706,NEIL WEINSTEIN,,N,,U-00001,"SODIUM-ALKALI SCRUBBING, WETTING AGENT - CHEMICAL FUME",28,"AMMONIUM HYDROXIDE, CHROMIC ACID, CHROMIUM(VI), HYDROGEN CHLORIDE, LEAD, NICKEL CHLORIDE, NICKEL METAL AND INSOLUBLE COMPOUNDS, NITRIC ACID, PALLADIUM CHLORIDE (PDC12) (8CI9CI), PARTICULATES, PEROXYDISULFURIC ACID ; DIPOTASSIUM SALT, POTASSIUM CYANIDE, SODIUM CYANIDE, SULFURIC ACID, SULFURIC ACID COPPER(2+)SALT(1:1) CU.H2O4S, SULFURIC ACID, NICKEL(2+) SALT (1:1), TIN",,,,,,,,
Air Title V Facility,1473000001,ADCHEM CORPORATION,ADCHEM CORPORATION,1852 OLD COUNTRY RD,RIVERHEAD,11901,"ADCHEM CORPORATION, JOHN J PUFAHL",,,RR,"U-00001, U-00002","ACTIVATED CARBON ADSORPTION, DIRECT FLAME AFTERBURNER WITH HEAT, FABRIC FILTER, SINGLE CYCLONE","22, 23, 25, 31, 33, 38, 48, 52, 8",VOC,,,,,,,,
Air State Facility,1473000023,UNITED RIVERHEAD TERMINAL INC,UNITED RIVERHEAD TERMINAL,212 SOUND SHORE RD,RIVERHEAD,11901,"SCOTT KAMM, TIMOTHY D RUTH",,,,"U-S0001, U-S0002, U-S0003, U-S0004, U-S0007",,30,"NITROGEN OXIDE- (USE 0NY210-00-0), VOC",,,,,,,,
Air State Facility,1473000185,SAWAYA AQUEBOGUE LLC,ALTAIRE PHARMACEUTICALS,311 WEST LN|SCTM 600-066-02-2.1,AQUEBOGUE,11931,MICHAEL SAWAYA,,,,"U-00001, U-00002, U-00003",,"25, 26, 7",SULFUR DIOXIDE,,,,,,,,
Air State Facility,1473001303,OLD CASTLE RETAIL INC,BONSAL AMERICAN,931 BURMAN BLVD. |(4061-701 GRUMMAN BLVD - SCTM#,600-135-1-7.8),,KEN E BROWN,,,,"0-00001, 0-00002, 0-00003, 0-00004, 0-00005",FABRIC FILTER,"61, 62","PARTICULATES, PM-10, SULFUR",,,,,,,,
Air State Facility,1473001303,OLD CASTLE RETAIL INC,BONSAL AMERICAN,931 BURMAN BLVD. |(4061-701 GRUMMAN BLVD - SCTM#,600-135-1-7.8),,"KEN E BROWN, LANSDALE B WILLIAMS, JR",,,,"0-00001, 0-00002, 0-00003, 0-00004, 0-00005",FABRIC FILTER,"61, 62","PARTICULATES, PM-10",,,,,,,,
Air State Facility,1473400227,PALL RAI INC,PALL RAI MANUFACTURING COMPANY,225 MARCUS BLVD,HAUPPAUGE,11788,MARK MARCO,,,,1-PALLS,THERMAL OXIDATION,"18, 19, 20, 21, 22, 24, 26, 28, 30",VOC,,,,,,,,
Air State Facility,1473400264,ST CATHERINE OF SIENA MEDICAL CENTER,ST CATHERINE OF SIENA MEDICAL CENTER,50 ROUTE 25A,SMITHTOWN,11787,"JAMES DREVAS, JAMES WILSON",,,,"U-00001, U-00002",CATALYTIC OXIDATION,"24, 63","ETHYLENE GLYCOL DIMETHYL ETHER, ETHYLENE OXIDE, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,1473400610,SUFFOLK ASPHALT SUPPLY INC,SUFFOLK ASPHALT SUPPLY INC,242 RABRO DR,HAUPPAUGE,11788,"ANTHONY SHAKESBY, JAMES HANEY",,,I,"U-00AP1, U-0FGTV","FABRIC FILTER, FIBERGLASS FILTER",33,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1473400743,CARDINAL LLC,LONG ISLAND STERILIZATION,175 WIRELESS BLVD,HAUPPAUGE,11788,RON KRAMER,,O,,E-00001,"CATALYTIC OXIDATION, WET SCRUBBER",50,ETHYLENE OXIDE,,,,,,,,
Air State Facility,1473401810,TOWN OF SMITHTOWN,SMITHTOWN MUNICIPAL SERVICES FACILITY,85 OLD NORTHPORT RD,KINGS PARK,11754,"MICHAEL P ENGELMANN, RUSSELL K BARNETT",,,,"U-LNDFL, U-WDCPR",FLARING,"11, 13, 23",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,1473402102,NYS OFFICE OF GENERAL SERVICES,PERRY B DURYEA JR STATE OFFICE BUILDING,250 VETERANS MEMORIAL HWY,HAUPPAUGE,11788,WARREN YOUNG,,,JJJJ,"U-00001, U-00002",CATALYTIC REDUCTION,"22, 30","CARBON MONOXIDE, OXIDES OF NITROGEN, VOC",,,,,,,,
Air State Facility,1473402210,JOSH PACKAGING INC,JOSH PACKAGING INC,245 MARCUS BLVD,HAUPPAUGE,11788,NEJAT RAHMANI,,,,U-00001,,18,"HAP, VOC",,,,,,,,
Air State Facility,1473402257,KETCHAM SUPPLY INC,KETCHAM SUPPLY INC,140 OLD NORTHPORT RD,KINGS PARK,11754,TOBY CARLSON,,ZZZZ,"I, JJJJ, OOO","1-CRUSH, 1-MIXER",FABRIC FILTER,"12, 26, 85","OXIDES OF NITROGEN, PARTICULATES, VOC",,,,,,,,
Air State Facility,1473600387,SOUTHAMPTON HOSPITAL,SOUTHAMPTON HOSPITAL,240 MEETING HOUSE LN,SOUTHAMPTON,11968,JOHN L LOETSCHER,,,,U-00001,,"60, 70","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1473600678,JOHN T MONTECALVO INC,JOHN T MONTECALVO INC,1217 SPEONK RIVERHEAD RD,SPEONK,11972,"JOHN MONTECALVO, JR",,,I,"0-00001, 0-00002",FABRIC FILTER,"12, 14, 24","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,1473601438,NATIONAL GRID GENERATION LLC,SOUTHAMPTON GT FACILITY,DAVID WHITES LN,SOUTHAMPTON,11968,PAUL A LYNCH,,,,"U-GT001, U-GT0S1",,"29, 38","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,1473602523,SUFFOLK ASPHALT SUPPLY INC,SUFFOLK ASPHALT SUPPLY INC,100 ROGERS AVE EXT,WESTHAMPTON BEACH,11978,ANTHONY SHAKESBY,,,I,"A-00020, A-00030",FABRIC FILTER,34,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1473603683,BIDE A WEE HOME ASSOCIATION,BIDE A WEE,118 OLD COUNTRY RD,WESTHAMPTON,11977,FRANK PIZZOLO,,,,1-BL500,,20,PARTICULATES,,,,,,,,
Air State Facility,1473800006,CORAZZINI BROTHERS INC,CORAZZINI BROTHERS INC,67240 RT 25 MAIN RD,GREENPORT,11944,"JOHN J PION, RICHARD CORAZZINI",,,I,0-00001,FABRIC FILTER,25,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,1473800028,US DEPT OF HOMELAND SECURITY,PLUM ISLAND ANIMAL DISEASE CTR,BUILDING 102: WASTEWATER EFFLUENT DECONTAMINATION,SYSTEM (EDS),,CHARLES WENDEROTH,,,"A, Dc","1-101EO, 1-101WE, 1-109BL, 1-109EG",,"23, 44","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1473800455,NATIONAL GRID GENERATION LLC,SOUTHOLD GT FACILITY,ST RTE 25 - W OF CHAPEL LN,SOUTHOLD,11944,PAUL A LYNCH,,,,"U-GT001, U-GT0S1",,"29, 38","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1473803119,HAWKEYE ENERGY GREENPORT LLC,GREENPORT GENERATING FACILITY,1885 MOORES LN|SCTM # 1001-40-4-1.1,GREENPORT,11944,"JOHN REYNOLDS, MICHAEL J GIARRATANO",,,"A, GG",U-00001,"CATALYTIC REDUCTION, SELECTIVE CATALYTIC REDUCTION (SCR)",65,"AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR",,,,,,,,
Air State Facility,1473803206,VILLAGE OF GREENPORT,GREENPORT POWER PLANT,236 THIRD ST,GREENPORT,11944,"ROBERT HARVEY, STEVEN BRAUTIGAM",,,,U-00001,,"30, 35","CARBON MONOXIDE, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,1473803923,CONNECTICUT MUNICIPAL ELECTRIC ENERGY COOPERATIVE,FISHERS ISLAND UTILITY COMPANY,1866 CENTRAL AVENUE,FISHERS ISLAND,06390,"ROBERT WALL, JR, THOMAS SOLINSKY",,,IIII,U-RICE1,"PARTICULATE TRAP, SELECTIVE CATALYTIC REDUCTION (SCR)",39,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, VOC",,,,,,,,
Air State Facility,2600100023,CENTURY TOWER ASSOCIATES NY LLC,CENTURY TOWER ASSOCIATES NY LLC,2600 NETHERLAND AVE,BRONX,10463,DION KEENE,,,,U-00001,,464,"OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,2600100028,TRACEY TOWERS ASSOCIATES,TRACEY TOWERS,20 W MOSHOLU PKWY S,BRONX,10468,DANIEL V DURANTE,,,"A, Dc","U-C0001, UC0001",,400,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,2600100031,AMALGAMATED HOUSING CORPORATION,AMALGAMATED HOUSING-130 GALE PL,130 GALE PL,BRONX,10463,PATRICIA J GOLDWATER,,,"A, Dc",A-00001,,162,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600100202,PROMENADE ASSOCIATES,PROMENADE ASSOCIATES,150 W 225TH ST,NEW YORK,10463,ROBERT VACCARELLO,,,,E-00001,,,PARTICULATES,,,,,,,,
Air Title V Facility,2600200055,NYC HEALTH & HOSPITALS CORP,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVE,BRONX,10467,"DENNIS STIVELLA, JOHN PETRIELLO",,,"A, Dc","U-00001, U00001",,225,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600200062,PECKHAM MATERIALS CORP,PECKHAM MATERIALS CORP PLANT # 22,3966 PROVOST AVE,BRONX,10466,ROBERT YAREMKO,,,"A, I","0-FUGIT, 1-DBDDC",FABRIC FILTER,"15, 30, 31, 9","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,2600200085,MONTEFIORE MEDICAL CENTER,MONTEFIORE MEDICAL CENTER - NORTH DIVISION,600 E 233RD ST,BRONX,10466,EDWARD PFLEGING,,,,U-00001,,200,OXIDES OF NITROGEN,,,,,,,,
Air Title V Facility,2600200105,MONTEFIORE MEDICAL CENTER,MONTEFIORE MEDICAL CTR-111 E 210TH ST,111 E 210TH ST,BRONX,10467,EDWARD PFLEGING,,ZZZZ,"A, Dc, GG","U-00001, U-00002, U-C0003, U00001","CATALYTIC OXIDATION, CATALYTIC REDUCTION, MOVING BED DRY SCRUBBER","125, 133, 26","CARBON MONOXIDE, ETHYLENE OXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, TOTAL HAP",,,,,,,,
Air State Facility,2600200226,NYC HOUSING AUTHORITY,NYC HA EDENWALD HOUSES-1170 229TH DR SO,1170 229TH DR S,BRONX,10466,CHRIS HAUN,,JJJJJJ,Dc,V-C0001,,165,OXIDES OF NITROGEN,,,,,,,,
Air State Facility,2600200407,XXXXXX X XXXXXXX,REDA CLEANERS,800 ALLERTON AVE,BRONX,10467,MICHAEL RAGUSA,,,,A-00001,,24,STODDARD SOLVENT,,,,,,,,
Air State Facility,2600200465,EASTCHESTER HEIGHTS LP,EASTCHESTER HEIGHTS,3480 SEYMOUR AVE,BRONX,10469,DAVID WOODRUFF,,,Dc,"U-00001, U-00002, U-00003, U-00004, U-00005",,"102, 107, 90",OXIDES OF NITROGEN,,,,,,,,
Air Title V Facility,2600300038,RIVERBAY CORP,RIVERBAY CORP-CO-OP CITY,2049 BARTOW AVE,BRONX,10475,BRIAN REARDON,,ZZZZ,"A, Db, Dc, GG, IIII","U-00001, U-00002, U-00003, U-00004, U-00006, U-00007, U00001, U00002, U00003, U00004, U00006","LOW NOX BURNERS, FLUE GAS, SELECTIVE CATALYTIC REDUCTION (SCR)","138, 150, 16","AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, SULFURIC ACID, VOC",,,,,,,,
Air State Facility,2600400065,U S DEPT OF VETERANS AFFAIRS,JAMES J PETERS VA MEDICAL CENTER,130 W KINGSBRIDGE RD,BRONX,10468,MICHAEL ONG,,"JJJJJJ, ZZZZ",IIII,"1-00001, 1-00002, 1-00003, 1-00004, 1-00005, 1-00006, 100002, 2-00000, E-00007","GAS SCRUBBER (GENERAL, NOT CLASSIFIED), THERMAL OXIDATION","119, 13, 16, 185, 31, 55, 57, 68","ETHYLENE OXIDE, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,2600400079,G A L MFG CORP,G.A.L. MANUFACTURING CO - 50 E 153RD ST,50 E 153RD ST,BRONX,10451,KERMIT HOFFMAN,,T,,"0-0000C, 0-0000D",BAFFLE,"22, 30, 36","HAP, TRICHLOROETHYLENE, VOC",,,,,,,,
Air State Facility,2600400089,CITY UNIVERSITY OF NEW YORK,LEHMAN COLLEGE-BEDFORD PK BLVD W,250 BEDFORD PARK BLVD WEST,BRONX,10468,"MICHAEL A SPATH, RENE M ROTOLO",,"JJJJJJ, ZZZZ","Dc, IIII","U-00002, U-NEW01","VAPOR COLLECTION (STAGE 1), VAPOR COLLECTION (STAGE 2)",250,"GASOLINE, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,2600400092,NYC HEALTH & HOSPITALS CORP,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,234 EAST 149TH ST,BRONX,10451,EDWARD ZAMMETT,,,Dc,"U-00001, U-00002",,"162, 37","ETHYLENE OXIDE, OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600400099,FORDHAM HILL OWNERS CORP,FORDHAM HILL OWNERS CORP,2421 WEBB AVENUE,BRONX,10468,GILDARDO ARBELAEZ,,,Dc,G-00001,,,"OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,2600400100,JEWISH HOME AND HOSPITAL FOR AGED,THE JEWISH HOME AND HOSPITAL-BRONX DIVISION,100 WEST KINGSBRIDGE RD,BRONX,10468,"EUGENE HOLLAND, JESUS BAUTISTA",,"JJJJJJ, ZZZZ","Dc, IIII, JJJJ","U-00001, U-00002, U-00003, U-00004, U-00005",,"120, 140, 150, 25, 40","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600400119,INSIGNIA RESIDENTIAL GROUP,EXECUTIVE TOWERS-1020 GRAND CONCOURSE,1020 GRAND CONCOURSE,BRONX,10451,TUDOR REALTY SERVICES CORP,,,,U-C0001,,238,OXIDES OF NITROGEN,,,,,,,,
Air State Facility,2600400346,NYC DEPT OF CITYWIDE ADMINISTRATIVE SERV,MARIO MERIOLA BRONX CO BLDG,851 GRAND CONCOURSE,BRONX,10451,GEORGE SULTANA,,JJJJJJ,Dc,0-00001,,198,OXIDES OF NITROGEN,,,,,,,,
Air Title V Facility,2600500011,NYC HEALTH & HOSPITALS CORP,NYC-HH - JACOBI MEDICAL CTR,50 EASTCHESTER RD & PELHAM PKWY SOUTH,BRONX,10461,ARTHUR WANEK,,,"A, Dc","U-00001, U-00002, U-00003, U-00004, U00001, U00003",CATALYTIC REDUCTION,"146, 170, 19, 22, 68","ETHYLENE OXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600500115,NYS OFFICE OF MENTAL HEALTH,BRONX PSYCHIATRIC CENTER,1500 WATERS PL,BRONX,10461,"A SCOTT BARD, DAVID SCHOTT",,"JJJJJJ, ZZZZ","Dc, IIII","U-NB001, U-NG001",,72,OXIDES OF NITROGEN,,,,,,,,
Air Title V Facility,2600500115,NYS OFFICE OF MENTAL HEALTH,BRONX PSYCHIATRIC CENTER,1500 WATERS PL,BRONX,10461,"A SCOTT BARD, JAKE KOHENAK",,,,U-EU001,,225,"OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,2600500125,WILDLIFE CONSERVATION SOCIETY,BRONX ZOO,2300 SOUTHERN BLVD,BRONX,10460,"BRENDA BURBACH, TRACEY KNUCKLES",,WWWWW,IIII,"1-00001, C-00001, E-00001, G-00001, S-00001",,"16, 30, 35, 42, 8","ETHYLENE OXIDE, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,2600500133,YESHIVA UNIVERSITY,ALBERT EINSTEIN COLLEGE OF MEDICINE,1300 MORRIS PARK AVE,BRONX,10461,RICHARD CIVITANO,,ZZZZ,"A, Dc, IIII","U-00001, U-00002, U-00003",,"10, 128, 133, 225, 63","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,2600500139,PARKCHESTER SOUTH CONDOMINIUM,PARKCHESTER SOUTH CONDOMINIUM,2020 E TREMONT AVE,BRONX,10462,"JOSEPH TORTORELLI, VINCENT PANETTIERI",,,,U-00001,,266,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600500148,BRONX LEBANON HOSPITAL CENTER,BRONX LEBANON HOSPITAL,1650 GRAND CONCOURSE,BRONX,10457,HIRAM TORRES,,,,U-C0000,,"190, 20, 30",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,2600500179,BRONX LEBANON HOSPITAL CENTER,BRONX LEBANON HOSPITAL CTR,1276 FULTON AVE,BRONX,10456,HIRAM TORRES,,,Dc,"U-001FR, U-FT000",,"120, 15, 20, 30","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,2600500183,PERRIGO NEW YORK INC,PERRIGO NEW YORK INC-1700 BATHGATE AVE,1700 BATHGATE AVE,BRONX,10457,SOPHIE NAFTALOVICH,,,,"0-70001, 0-70002, 0-70003, 0-70004, 0-71001",FABRIC FILTER,"26, 32, 38","PARTICULATES, VOC",,,,,,,,
Air Title V Facility,2600500232,ST BARNABAS HOSPITAL,ST BARNABAS HOSPITAL,183RD ST & 3RD AVE,BRONX,10457,"JOHN DIGIROLOMO, MICHAEL CHIAPPONE",,"JJJJJJ, ZZZZ","Dc, IIII","U-00001, U-000E1",,"175, 26","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,2600500556,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,441 E FORDHAM RD,BRONX,10458,JOHN D PUGLISI,,ZZZZ,,"1-THBLR, 2-MCBLR, 3-DSPTH",,"20, 80","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,2600500864,NYC TRANSIT AUTHORITY,NYCT WEST FARMS BUS DEPOT,1100 E 177TH ST,BRONX,10460,JENNIFER WUOTINEN,,"JJJJJJ, ZZZZ",Dc,"U-00001, U-00002, U-00003",,"15, 180, 6","CARBON DIOXIDE EQUIVALENTS, OXIDES OF NITROGEN",,,,,,,,
